iter	Passed	Remaining
0	229	229529
1	230	115234
2	231	77035
3	232	57951
4	233	46478
5	234	38828
6	235	33359
7	236	29265
8	236	26078
9	237	23528
10	238	21441
11	239	19709
12	240	18236
13	241	16975
14	241	15883
15	243	14965
16	245	14207
17	247	13481
18	248	12840
19	249	12228
20	250	11672
21	251	11168
22	252	10716
23	253	10296
24	254	9907
25	254	9545
26	255	9212
27	256	8903
28	257	8619
29	261	8471
30	262	8220
31	263	7985
32	264	7764
33	266	7573
34	267	7382
35	268	7191
36	269	7011
37	270	6841
38	271	6679
39	271	6525
40	272	6379
41	274	6267
42	276	6154
43	277	6034
44	278	5916
45	279	5801
46	280	5690
47	281	5584
48	282	5480
49	283	5380
50	284	5291
51	285	5208
52	286	5119
53	287	5035
54	290	4995
55	291	4920
56	292	4846
57	293	4773
58	295	4707
59	296	4639
60	297	4572
61	297	4506
62	298	4443
63	299	4381
64	300	4325
65	301	4270
66	302	4215
67	306	4194
68	307	4145
69	308	4093
70	309	4046
71	310	3999
72	311	3950
73	311	3901
74	312	3854
75	313	3808
76	313	3762
77	314	3718
78	315	3675
79	315	3633
80	316	3591
81	317	3551
82	317	3509
83	318	3472
84	319	3444
85	320	3409
86	321	3374
87	322	3339
88	322	3305
89	323	3272
90	324	3240
91	325	3213
92	326	3189
93	328	3162
94	329	3136
95	330	3109
96	331	3083
97	332	3064
98	337	3075
99	339	3052
100	341	3036
101	342	3011
102	343	2988
103	344	2968
104	345	2945
105	346	2923
106	347	2902
107	350	2898
108	352	2883
109	354	2866
110	355	2847
111	356	2829
112	358	2815
113	360	2798
114	361	2779
115	362	2760
116	363	2739
117	364	2727
118	366	2716
119	368	2701
120	369	2685
121	371	2670
122	372	2653
123	373	2636
124	374	2619
125	375	2603
126	376	2585
127	377	2569
128	378	2554
129	382	2558
130	383	2544
131	384	2530
132	385	2515
133	386	2500
134	387	2485
135	388	2470
136	390	2458
137	391	2445
138	392	2431
139	393	2416
140	394	2401
141	397	2402
142	398	2390
143	399	2376
144	401	2366
145	402	2352
146	403	2338
147	403	2324
148	404	2311
149	405	2299
150	406	2287
151	407	2275
152	408	2262
153	411	2259
154	413	2252
155	414	2241
156	415	2230
157	416	2219
158	417	2208
159	418	2196
160	418	2182
161	419	2171
162	420	2160
163	421	2148
164	422	2138
165	423	2127
166	424	2116
167	426	2111
168	427	2102
169	428	2093
170	430	2087
171	431	2078
172	432	2068
173	433	2057
174	434	2047
175	435	2038
176	436	2028
177	437	2018
178	437	2008
179	439	2002
180	441	1999
181	443	1991
182	444	1982
183	445	1974
184	446	1965
185	447	1957
186	448	1948
187	449	1940
188	450	1931
189	450	1922
190	451	1913
191	452	1904
192	453	1895
193	455	1893
194	457	1886
195	458	1880
196	459	1872
197	460	1864
198	461	1856
199	462	1848
200	462	1840
201	463	1832
202	464	1824
203	465	1817
204	466	1809
205	467	1802
206	468	1795
207	472	1799
208	473	1792
209	474	1786
210	476	1780
211	477	1774
212	478	1768
213	479	1762
214	480	1755
215	481	1748
216	482	1741
217	483	1734
218	485	1731
219	487	1730
220	489	1724
221	490	1719
222	492	1714
223	493	1708
224	494	1702
225	495	1696
226	496	1690
227	497	1684
228	498	1678
229	502	1681
230	503	1676
231	505	1671
232	506	1666
233	507	1660
234	508	1654
235	509	1648
236	510	1642
237	511	1636
238	512	1631
239	515	1631
240	516	1627
241	517	1622
242	518	1616
243	519	1610
244	520	1605
245	521	1599
246	522	1594
247	524	1589
248	525	1584
249	526	1578
250	527	1572
251	527	1567
252	530	1567
253	532	1563
254	533	1558
255	534	1553
256	535	1548
257	536	1543
258	537	1538
259	538	1532
260	539	1527
261	540	1521
